Tgl. Mohon,count,cumulative_sum
2024-03-30,9,4502
2024-03-31,21,4523
2024-04-02,1,4524
2024-04-03,6,4530
2024-04-04,6,4536
2024-04-05,9,4545
2024-04-06,9,4554
2024-04-08,15,4569
2024-04-09,11,4580
2024-04-13,3,4583
2024-04-14,2,4585
2024-04-15,4,4589
2024-04-16,8,4597
2024-04-17,3,4600
2024-04-18,7,4607
2024-04-19,6,4613
2024-04-20,1,4614
2024-04-22,6,4620
2024-04-23,7,4627
2024-04-24,6,4633
2024-04-25,4,4637
2024-04-26,2,4639
2024-04-27,5,4644
2024-04-29,6,4650
2024-04-30,18,4668
2024-05-04,6,4674
2024-05-06,10,4684
2024-05-07,12,4696
2024-05-08,8,4704
2024-05-10,8,4712
2024-05-11,9,4721
2024-05-13,5,4726
2024-05-14,3,4729
2024-05-15,9,4738
2024-05-16,10,4748
2024-05-17,5,4753
2024-05-18,3,4756
2024-05-20,6,4762
2024-05-21,3,4765
2024-05-22,8,4773
2024-05-23,2,4775
2024-05-24,6,4781
2024-05-25,4,4785
2024-05-27,5,4790
2024-05-28,6,4796
2024-05-29,5,4801
2024-05-30,3,4804
2024-05-31,11,4815
2024-06-04,7,4822
2024-06-05,4,4826
2024-06-06,8,4834
2024-06-07,6,4840
2024-06-08,6,4846
2024-06-10,5,4851
2024-06-11,6,4857
2024-06-12,9,4866
2024-06-13,2,4868
2024-06-14,7,4875
2024-06-15,1,4876
2024-06-18,3,4879
2024-06-19,3,4882
2024-06-20,6,4888
2024-06-21,5,4893
2024-06-22,3,4896
2024-06-24,2,4898
2024-06-25,4,4902
2024-06-26,10,4912
2024-06-27,4,4916
2024-06-28,3,4919
2024-06-29,8,4927
2024-06-30,8,4935
2024-07-04,3,4938
2024-07-05,13,4951
2024-07-06,4,4955
2024-07-08,8,4963
2024-07-09,4,4967
2024-07-10,3,4970
2024-07-11,3,4973
2024-07-12,3,4976
2024-07-13,1,4977
2024-07-16,4,4981
2024-07-17,9,4990
2024-07-18,4,4994
2024-07-19,4,4998
2024-07-20,5,5003
2024-07-22,3,5006
2024-07-23,3,5009
2024-07-24,4,5013
2024-07-25,3,5016
2024-07-26,1,5017
2024-07-27,6,5023
2024-07-29,5,5028
2024-07-30,4,5032
2024-07-31,6,5038
2024-08-02,3,5041
2024-08-03,5,5046
2024-08-05,4,5050
2024-08-06,3,5053
2024-08-07,5,5058
2024-08-08,2,5060
2024-08-09,7,5067
2024-08-10,2,5069
2024-08-13,6,5075
2024-08-14,5,5080
2024-08-15,6,5086
2024-08-16,2,5088
2024-08-19,6,5094
2024-08-20,5,5099
2024-08-21,3,5102
2024-08-22,5,5107
2024-08-23,2,5109
2024-08-24,2,5111
2024-08-26,5,5116
2024-08-27,2,5118
2024-08-28,1,5119
2024-08-29,3,5122
2024-08-30,2,5124
2024-08-31,6,5130
