Year,Week,Total Sales,Kelurahan,Kecamatan,Gender,Pekerjaan,Pengeluaran,Pendidikan,Tipe Pembeli,Umur,0,1,2,3,4,5
2023,33,31,103.6774193548387,6.580645161290323,0.3870967741935484,8.548387096774194,3.3870967741935485,3.7096774193548385,0.0,44.12903225806452,1,1,0,1,27,1
2023,34,34,119.97058823529412,6.176470588235294,0.29411764705882354,7.9411764705882355,3.1176470588235294,3.411764705882353,0.0,40.05882352941177,1,1,1,2,28,1
2023,35,31,98.29032258064517,5.870967741935484,0.7096774193548387,10.709677419354838,3.4838709677419355,3.935483870967742,0.06451612903225806,37.87096774193548,1,1,0,0,28,1
2023,36,46,115.52173913043478,6.913043478260869,0.9565217391304348,9.76086956521739,3.5869565217391304,3.9565217391304346,0.15217391304347827,36.608695652173914,1,1,0,0,43,1
2023,37,33,134.54545454545453,5.393939393939394,0.5151515151515151,9.424242424242424,2.8181818181818183,3.727272727272727,0.0,38.303030303030305,1,1,0,1,28,2
2023,38,30,103.73333333333333,6.866666666666666,0.6333333333333333,8.9,3.4,3.2333333333333334,0.03333333333333333,38.93333333333333,1,0,0,0,27,2
2023,39,34,112.58823529411765,7.529411764705882,0.6176470588235294,9.205882352941176,3.088235294117647,3.5294117647058822,0.0,39.705882352941174,2,0,0,0,31,1
2023,40,26,98.23076923076923,4.1923076923076925,0.38461538461538464,8.5,3.5,3.576923076923077,0.0,40.30769230769231,0,1,0,0,23,2
2023,41,33,122.0,7.121212121212121,0.3939393939393939,9.878787878787879,2.6666666666666665,3.9696969696969697,0.0,37.333333333333336,4,0,1,0,26,2
2023,42,32,100.1875,7.40625,0.625,10.15625,3.21875,4.09375,0.0625,38.34375,0,2,0,1,24,5
2023,43,32,124.0625,5.9375,0.625,8.34375,3.0,3.90625,0.03125,41.3125,2,1,0,0,28,1
2023,44,41,105.78048780487805,5.878048780487805,0.5365853658536586,9.975609756097562,3.2439024390243905,3.951219512195122,0.07317073170731707,36.609756097560975,2,2,0,0,32,5
2023,45,42,99.5952380952381,7.5476190476190474,0.42857142857142855,10.238095238095237,3.4761904761904763,3.6666666666666665,0.0,40.88095238095238,0,0,0,0,37,5
2023,46,53,103.58490566037736,5.981132075471698,0.9245283018867925,12.11320754716981,4.320754716981132,4.226415094339623,0.22641509433962265,35.905660377358494,3,2,0,0,40,8
2023,47,35,107.25714285714285,6.9714285714285715,0.6,10.314285714285715,3.085714285714286,3.9714285714285715,0.05714285714285714,33.8,1,2,1,2,24,5
2023,48,26,119.6923076923077,5.615384615384615,0.6153846153846154,10.576923076923077,3.1923076923076925,3.9615384615384617,0.07692307692307693,40.92307692307692,2,0,1,0,21,2
2023,49,36,107.72222222222223,4.361111111111111,0.4166666666666667,10.694444444444445,3.0555555555555554,3.6666666666666665,0.027777777777777776,38.02777777777778,1,1,0,0,33,1
2023,50,34,95.8529411764706,5.647058823529412,0.5588235294117647,7.264705882352941,2.764705882352941,3.911764705882353,0.029411764705882353,36.294117647058826,1,1,0,1,29,2
2023,51,41,113.02439024390245,5.804878048780488,0.4878048780487805,9.0,2.8292682926829267,3.5609756097560976,0.0,39.73170731707317,0,0,0,0,38,3
2023,52,40,116.125,10.2,0.475,6.875,3.0,3.6,0.0,37.525,1,0,0,0,34,5
2024,1,27,110.14814814814815,8.703703703703704,0.5555555555555556,9.851851851851851,2.8518518518518516,3.925925925925926,0.0,40.111111111111114,0,1,0,0,25,1
2024,2,46,115.8695652173913,4.630434782608695,0.6086956521739131,7.086956521739131,3.217391304347826,3.869565217391304,0.021739130434782608,37.608695652173914,1,3,0,0,36,6
2024,3,49,126.79591836734694,7.3061224489795915,0.4897959183673469,8.326530612244898,2.938775510204082,3.673469387755102,0.0,36.3469387755102,0,0,1,0,37,11
2024,4,46,105.58695652173913,7.413043478260869,0.5,7.5,3.347826086956522,3.739130434782609,0.0,38.43478260869565,0,5,0,1,36,4
2024,5,38,114.3157894736842,5.026315789473684,0.42105263157894735,8.18421052631579,2.973684210526316,3.789473684210526,0.0,39.28947368421053,0,1,0,0,33,4
2024,6,36,115.66666666666667,6.555555555555555,0.5277777777777778,7.805555555555555,3.0833333333333335,3.5,0.0,33.69444444444444,2,0,0,0,32,2
2024,7,40,121.575,6.975,0.525,6.575,2.65,3.775,0.0,37.425,1,1,0,0,35,3
2024,8,45,97.68888888888888,7.711111111111111,0.4888888888888889,7.888888888888889,3.3333333333333335,3.488888888888889,0.0,36.0,3,2,0,0,39,1
2024,9,30,76.66666666666667,5.9,0.4666666666666667,8.9,2.933333333333333,3.8,0.0,36.333333333333336,3,0,0,0,27,0
2024,10,47,96.76595744680851,5.0,0.46808510638297873,10.404255319148936,3.25531914893617,3.851063829787234,0.02127659574468085,38.91489361702128,2,0,0,0,37,8
2024,11,44,107.18181818181819,5.363636363636363,0.4772727272727273,7.090909090909091,3.1818181818181817,3.5,0.0,37.70454545454545,2,1,0,0,38,3
2024,12,44,114.1590909090909,6.0227272727272725,0.6590909090909091,8.045454545454545,3.1363636363636362,3.477272727272727,0.0,36.79545454545455,0,1,0,0,30,13
2024,13,71,104.78873239436619,6.112676056338028,0.6056338028169014,7.295774647887324,3.4225352112676055,3.9014084507042255,0.014084507042253521,36.50704225352113,2,2,1,1,60,5
2024,14,38,108.02631578947368,4.342105263157895,0.7631578947368421,6.7368421052631575,3.473684210526316,3.736842105263158,0.0,37.1578947368421,0,1,1,0,31,5
2024,15,31,112.58064516129032,7.548387096774194,0.5806451612903226,9.193548387096774,2.838709677419355,3.967741935483871,0.0,35.74193548387097,0,0,0,0,31,0
2024,16,35,104.62857142857143,4.485714285714286,0.42857142857142855,9.057142857142857,3.3714285714285714,4.0,0.0,34.142857142857146,0,2,0,0,29,4
2024,17,34,105.82352941176471,6.529411764705882,0.4411764705882353,8.882352941176471,3.264705882352941,3.7058823529411766,0.029411764705882353,36.35294117647059,1,0,0,1,30,2
2024,18,40,120.975,5.65,0.425,10.075,3.325,3.975,0.075,40.225,0,4,0,1,30,5
2024,19,58,98.55172413793103,7.517241379310345,0.43103448275862066,8.655172413793103,2.8448275862068964,3.8448275862068964,0.017241379310344827,41.6551724137931,1,3,0,0,47,7
2024,20,47,98.48936170212765,4.1063829787234045,0.44680851063829785,9.425531914893616,2.8297872340425534,3.9361702127659575,0.0,37.234042553191486,0,1,0,1,35,10
2024,21,49,93.87755102040816,8.408163265306122,0.9183673469387755,11.63265306122449,4.081632653061225,4.591836734693878,0.24489795918367346,45.59183673469388,12,3,0,0,29,5
2024,22,48,104.4375,6.541666666666667,0.6458333333333334,10.875,4.25,4.333333333333333,0.14583333333333334,41.020833333333336,8,2,0,0,30,8
2024,23,43,105.30232558139535,6.534883720930233,0.4883720930232558,8.837209302325581,3.0697674418604652,3.813953488372093,0.0,36.604651162790695,1,4,1,0,31,6
2024,24,43,98.30232558139535,5.441860465116279,0.5348837209302325,8.627906976744185,3.255813953488372,3.627906976744186,0.0,38.02325581395349,0,3,1,1,30,8
